date,price
1487116800000,1010.0
1487203200000,1001.10000002
1487289600000,1032.379111
1487376000000,1047.0
1487462400000,1049.80000002
1487548800000,1047.379
1487635200000,1078.99999999
1487721600000,1113.397
1487808000000,1117.489
1487894400000,1174.40000429
1487980800000,1170.905
1488067200000,1143.05620633
1488153600000,1182.0
1488240000000,1200.0
1488326400000,1181.0000485
1488412800000,1230.47115453
1488499200000,1250.0
1488585600000,1281.0
1488672000000,1273.0
1488758400000,1278.704
1488844800000,1276.1
1488931200000,1226.01900458
1489017600000,1162.71
1489104000000,1184.80000152
1489190400000,1122.0
1489276800000,1164.50919877
1489363200000,1214.10000007
1489449600000,1201.00000001
1489536000000,1235.00000001
1489622400000,1258.75
1489708800000,1179.79536507
1489795200000,1066.88272644
1489881600000,967.31899999
1489968000000,1008.78848473
1490054400000,1043.12043257
1490140800000,1098.00000001
1490227200000,1035.49037341
1490313600000,1035.0
1490400000000,930.00000001
1490486400000,966.0
1490572800000,961.77428341
1490659200000,1036.661
1490745600000,1044.99999999
1490832000000,1050.0
1490918400000,1045.34670683
1491004800000,1082.0
1491091200000,1076.98
1491177600000,1106.0
1491264000000,1136.611
1491350400000,1130.00000002
1491436800000,1142.10768607
1491523200000,1183.41600004
1491609600000,1191.00000001
1491696000000,1189.21898406
1491782400000,1217.0
1491868800000,1201.0
1491955200000,1227.00000103
1492041600000,1232.0
1492128000000,1183.0
1492214400000,1208.63472341
1492300800000,1197.99999999
1492387200000,1212.099
1492473600000,1220.95400003
1492560000000,1270.23
1492646400000,1264.172
1492732800000,1298.00000004
1492819200000,1324.0
1492905600000,1337.59
1492992000000,1349.00000001
1493078400000,1352.691
1493164800000,1379.974
1493251200000,1401.0
1493337600000,1431.61200044
1493424000000,1420.0
1493510400000,1431.381
1493596800000,1431.38900007
1493683200000,1523.64600072
1493769600000,1563.85
1493856000000,1611.66
1493942400000,1614.33499995
1494028800000,1552.97099994
1494115200000,1586.351
1494201600000,1627.0
1494288000000,1711.33199998
1494374400000,1764.90899984
1494460800000,1791.697
1494547200000,1867.516
1494633600000,1738.45099998
1494720000000,1825.0
1494806400000,1828.0
1494892800000,1775.0
1494979200000,1799.99899996
1495065600000,1850.001
1495152000000,1931.0
1495238400000,1980.0
1495324800000,2072.92817
1495411200000,2020.725
1495497600000,2078.0
1495584000000,2176.76
1495670400000,2337.682
1495756800000,2037.6279
1495843200000,1871.999
1495929600000,1720.0
1496016000000,2028.0
1496102400000,2208.97
1496188800000,2148.0
1496275200000,2152.11100016
1496361600000,2286.084
1496448000000,2394.9
1496534400000,2452.569
1496620800000,2487.211
1496707200000,2629.4
1496793600000,2840.0
1496880000000,2621.00300001
1496966400000,2787.0
1497052800000,2802.00100001
1497139200000,2781.59100002
1497225600000,2937.13134783
1497312000000,2598.99999971
1497398400000,2681.887
1497484800000,2390.0
1497571200000,2380.00000001
1497657600000,2431.99
1497744000000,2612.0
1497830400000,2519.83599972
1497916800000,2585.0
1498003200000,2678.0
1498089600000,2629.99999999
1498176000000,2670.0
1498262400000,2668.46899999
1498348800000,2515.01999994
1498435200000,2489.18999996
1498521600000,2398.5
1498608000000,2510.0
1498694400000,2512.51
1498780800000,2465.57
1498867200000,2418.0
1498953600000,2342.6
1499040000000,2437.99999999
1499126400000,2533.09431274
1499212800000,2589.99998839
1499299200000,2609.98999996
1499385600000,2587.0005116
1499472000000,2475.25999999
1499558400000,2555.54999999
1499644800000,2468.157
1499731200000,2312.00000001
1499817600000,2275.2
1499904000000,2380.5
1499990400000,2339.0
1500076800000,2197.00000002
1500163200000,1980.125
1500249600000,1918.33000002
1500336000000,2210.0
1500422400000,2295.88
1500508800000,2247.99998661
1500595200000,2850.0
1500681600000,2678.97
1500768000000,2850.00001052
1500854400000,2748.0
1500940800000,2771.89998917
1501027200000,2547.00000001
1501113600000,2520.0000119
1501200000000,2666.99998874
1501286400000,2774.00000002
1501372800000,2730.001
1501459200000,2746.99998906
1501545600000,2858.2500105
1501632000000,2738.97997806
1501718400000,2690.00001116
1501804800000,2790.9
1501891200000,2863.0
1501977600000,3245.00000924
1502064000000,3238.0
1502150400000,3405.0
1502236800000,3410.0
1502323200000,3330.0
1502409600000,3420.0
1502496000000,3625.30000003
1502582400000,3869.5
1502668800000,4031.50000013
1502755200000,4320.0
1502841600000,4164.0
1502928000000,4364.10000011
1503014400000,4254.0
1503100800000,4070.00000003
1503187200000,4154.0
1503273600000,4072.8827
1503360000000,3985.0
1503446400000,4057.00000007
1503532800000,4132.0
1503619200000,4307.36
1503705600000,4365.0
1503792000000,4331.88
1503878400000,4343.0
1503964800000,4384.00000001
1504051200000,4599.0
1504137600000,4575.0
1504224000000,4710.01
1504310400000,4890.0
1504396800000,4520.0
1504483200000,4596.0
1504569600000,4170.945
1504656000000,4394.99999999
1504742400000,4585.1
1504828800000,4630.0
1504915200000,4280.10000002
1505001600000,4320.28999999
1505088000000,4220.0
1505174400000,4194.82149499
1505260800000,4130.0
1505347200000,3860.0
1505433600000,3213.5
1505520000000,3700.59799999
1505606400000,3670.00000001
1505692800000,3664.5
1505779200000,4086.0
1505865600000,3893.461
1505952000000,3879.99
1506038400000,3580.15300048
1506124800000,3600.0
1506211200000,3773.001
1506297600000,3656.899
1506384000000,3931.12
1506470400000,3879.3
1506556800000,4204.0
1506643200000,4196.99
1506729600000,4182.0
1506816000000,4367.5
1506902400000,4413.0
1506988800000,4397.91204043
1507075200000,4308.0
1507161600000,4209.0
1507248000000,4336.75372522
1507334400000,4373.32766255
1507420800000,4430.0001
1507507200000,4628.99
1507593600000,4775.3
1507680000000,4777.66079999
1507766400000,4835.8
1507852800000,5448.99999999
1507939200000,5637.0
1508025600000,5820.0
1508112000000,5693.30000002
1508198400000,5755.00575504
1508284800000,5581.88856768
1508371200000,5562.39
1508457600000,5706.0
1508544000000,6000.0
1508630400000,6001.0
1508716800000,5987.9
1508803200000,5998.0
1508889600000,5496.0
1508976000000,5705.0
1509062400000,5883.0
1509148800000,5746.0
1509235200000,5730.99999998
1509321600000,6143.0
1509408000000,6137.11
1509494400000,6447.08
1509580800000,6720.1
1509667200000,7003.0
1509753600000,7140.0
1509840000000,7360.00000001
1509926400000,7391.0
1510012800000,6927.5
1510099200000,7074.0
1510185600000,7349.99990001
1510272000000,7098.00000001
1510358400000,6533.0
1510444800000,6315.0
1510531200000,5850.00010003
1510617600000,6489.8
1510704000000,6580.30000001
1510790400000,7250.0
1510876800000,7867.9
1510963200000,7670.01
1511049600000,7790.0
1511136000000,8065.0
1511222400000,8250.0
1511308800000,8100.00000001
1511395200000,8225.0
1511481600000,8001.0
1511568000000,8186.0
1511654400000,8700.0
1511740800000,9190.8889
1511827200000,9698.0
1511913600000,9890.0
1512000000000,9745.97901596
1512086400000,9912.39
1512172800000,10784.0
1512259200000,10902.0
1512345600000,11198.00000008
1512432000000,11588.0
1512518400000,11631.00000001
1512604800000,13584.9
1512691200000,16460.024
1512777600000,15845.06673459
1512864000000,14698.98334054
1512950400000,14950.0
1513036800000,16587.0
1513123200000,16302.07999898
1513209600000,16050.0
1513296000000,16394.0
1513382400000,17461.00100004
1513468800000,19261.10000009
1513555200000,18917.0
1513641600000,18968.81
1513728000000,17346.0
1513814400000,16497.99999999
1513900800000,15296.99999999
1513987200000,13280.0
1514073600000,13849.0
1514160000000,13530.0
1514246400000,13639.0
1514332800000,15707.18562129
1514419200000,15446.79999996
1514505600000,14275.0
1514592000000,14330.0
1514678400000,12350.0
1514764800000,13726.00000005
1514851200000,13380.0
1514937600000,14724.9
1515024000000,15079.99000003
1515110400000,15199.0
1515196800000,16925.00000003
1515283200000,17130.0
1515369600000,16180.0
1515456000000,14900.0
1515542400000,14457.99999998
1515628800000,14860.0
1515715200000,13282.4827727
1515801600000,13797.0
1515888000000,14180.999
1515974400000,13545.10000002
1516060800000,13565.0
1516147200000,11017.17200001
1516233600000,11035.70000006
1516320000000,11000.0
1516406400000,11385.3
1516492800000,12729.9
1516579200000,11492.54
1516665600000,10788.0
1516752000000,10839.0
1516838400000,11397.07698721
1516924800000,11187.09999999
1517011200000,11090.0
1517097600000,11503.00000001
1517184000000,11868.0
1517270400000,11252.0
1517356800000,10229.99
1517443200000,10256.0
1517529600000,9231.84326197
1517616000000,8880.0
1517702400000,9229.928658
1517788800000,8180.01
1517875200000,6968.07228915
1517961600000,7699.0
1518048000000,7588.99999999
1518134400000,8268.4
1518220800000,8689.0
1518307200000,8540.00000001
1518393600000,8052.5
1518480000000,8913.48826283
1518566400000,8512.00000005
1518652800000,9450.0
1518739200000,10035.00000004
1518825600000,10150.0
1518912000000,11048.99999998
1518998400000,10380.00000009
1519084800000,11159.999
1519171200000,11182.10000001
1519257600000,10444.0
1519344000000,9800.00000009
1519430400000,10132.0
1519516800000,9699.5
1519603200000,9536.72008278
1519689600000,10300.0
1519776000000,10600.5
1519862400000,10300.0
1519948800000,10942.0
1520035200000,11086.99999801
1520121600000,11475.408
1520208000000,11522.0
1520294400000,11485.0
1520380800000,10731.0
1520467200000,9886.99999998
1520553600000,9241.06153789
1520640000000,9245.0
1520726400000,8750.5
1520812800000,9554.999999
1520899200000,9150.38699996
1520985600000,9135.05000002
1521072000000,8177.64017685
